date;weather;minimum;maximum
Sun, Dec 19;overcast clouds;5;9
Mon, Dec 20;overcast clouds;1;7
Tue, Dec 21;clear sky;-1;4
Wed, Dec 22;overcast clouds;-1;3
Thu, Dec 23;light rain;0;6
Fri, Dec 24;overcast clouds;7;9
Sat, Dec 25;light rain;8;10
